Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
90,Andre Jackson Jr.,SG,22,MIL,5,0,12.0,1.0,2.2,0.455,0.4,1.2,0.333,0.6,1.0,0.0,0.0,0.0,1.0,1.2,2.2,2.0,1.0,0.2,0.6,2.0,2.4
91,Isaiah Jackson,C,22,IND,15,0,10.3,1.5,2.9,0.535,0.0,0.0,0.0,1.5,2.9,0.7,1.2,0.611,1.4,1.8,3.2,0.5,0.2,0.9,0.3,1.6,3.8
92,Reggie Jackson,PG,33,DEN,12,0,9.8,1.3,4.0,0.333,0.7,1.9,0.348,0.7,2.1,0.2,0.2,1.0,0.2,1.1,1.3,1.0,0.2,0.1,0.7,1.0,3.5
93,LeBron James,PF,39,LAL,5,5,40.8,11.2,19.8,0.566,2.0,5.2,0.385,9.2,14.6,3.4,4.6,0.739,0.8,6.0,6.8,8.8,2.4,1.0,3.8,2.2,27.8
96,Isaiah Joe,SG,24,OKC,10,2,17.3,2.4,5.4,0.444,1.6,3.9,0.41,0.8,1.5,0.0,0.0,0.0,0.4,1.8,2.2,1.0,0.5,0.0,0.5,1.0,6.4
98,Nikola Joki?,C,28,DEN,12,12,40.2,11.1,20.3,0.545,1.2,4.4,0.264,9.9,15.9,5.3,5.9,0.901,3.6,9.8,13.4,8.7,1.4,0.7,3.3,2.7,28.7
100,Derrick Jones Jr.,SF,26,DAL,22,22,29.4,3.5,7.3,0.481,1.1,3.0,0.369,2.4,4.3,1.0,1.4,0.733,1.5,2.0,3.5,1.2,0.5,1.0,0.8,2.5,9.1
103,Nikola Jovi?,PF,20,MIA,5,5,25.6,3.2,7.2,0.444,1.8,4.4,0.409,1.4,2.8,1.2,1.4,0.857,0.4,6.2,6.6,2.2,1.0,0.6,1.2,1.8,9.4
104,Maxi Kleber,C,32,DAL,13,0,16.8,1.2,3.0,0.41,0.9,2.2,0.429,0.3,0.8,0.3,0.5,0.667,0.3,1.6,1.9,1.0,0.2,0.3,0.4,1.5,3.7
105,Luke Kornet,C,28,BOS,13,0,10.2,1.1,1.6,0.667,0.0,0.0,0.0,1.1,1.6,0.8,1.0,0.846,1.5,1.7,3.2,0.5,0.1,0.4,0.5,0.8,3.0
106,A.J. Lawson,SG,23,DAL,10,0,3.0,0.4,0.9,0.444,0.2,0.6,0.333,0.2,0.3,0.1,0.2,0.5,0.1,0.2,0.3,0.0,0.0,0.1,0.0,0.1,1.1
108,Caris LeVert,SG,29,CLE,11,1,25.3,4.0,9.3,0.431,0.5,3.0,0.182,3.5,6.3,1.5,2.4,0.654,0.7,2.9,3.6,2.3,0.8,0.5,1.3,1.3,10.1
112,Dereck Lively II,C,19,DAL,21,0,22.0,3.0,4.5,0.674,0.0,0.0,1.0,3.0,4.5,1.7,2.9,0.59,2.7,4.7,7.4,1.3,0.4,1.0,1.0,2.3,7.9
114,Brook Lopez,C,35,MIL,6,6,33.3,7.3,12.5,0.587,1.7,3.8,0.435,5.7,8.7,1.3,2.5,0.533,1.8,2.5,4.3,1.8,0.0,1.3,1.5,1.7,17.7
115,Kevin Love,PF,35,MIA,5,0,6.4,0.8,1.8,0.444,0.2,0.8,0.25,0.6,1.0,0.0,0.0,0.0,0.2,2.6,2.8,0.8,0.0,0.0,0.4,0.4,1.8
116,Kyle Lowry,PG,37,PHI,6,6,29.2,1.8,5.3,0.344,1.3,4.0,0.333,0.5,1.3,2.0,2.5,0.8,1.0,2.5,3.5,4.0,1.0,0.7,0.7,3.8,7.0
117,Terance Mann,SG,27,LAC,6,6,31.2,3.2,7.7,0.413,1.7,3.7,0.455,1.5,4.0,1.3,1.3,1.0,2.8,2.2,5.0,1.8,0.0,0.0,0.8,3.2,9.3
119,Caleb Martin,SF,28,MIA,5,5,35.2,4.2,9.0,0.467,2.2,5.0,0.44,2.0,4.0,1.0,1.0,1.0,1.0,2.6,3.6,1.4,0.6,0.0,0.6,2.8,11.6
120,Tyrese Maxey,PG,23,PHI,6,6,44.5,11.0,23.0,0.478,3.7,9.2,0.4,7.3,13.8,4.2,4.7,0.893,0.2,5.0,5.2,6.8,0.8,0.3,2.2,2.7,29.8
121,Miles McBride,PG,23,NYK,13,2,26.7,4.2,9.5,0.435,1.9,5.2,0.368,2.2,4.3,0.8,0.9,0.833,0.5,1.7,2.2,1.9,0.5,0.2,0.8,2.3,11.0
123,T.J. McConnell,PG,31,IND,17,0,20.5,5.3,10.9,0.486,0.4,1.5,0.269,4.9,9.4,0.8,0.9,0.867,0.6,2.4,3.1,5.1,0.9,0.1,1.2,1.5,11.8
124,Jaden McDaniels,SF,23,MIN,16,16,33.6,4.5,8.8,0.514,1.5,3.5,0.429,3.0,5.3,1.7,2.2,0.771,1.8,2.1,3.8,1.1,0.9,1.1,1.1,3.4,12.2
125,Doug McDermott,SF,32,IND,10,0,6.4,0.5,1.1,0.455,0.3,0.8,0.375,0.2,0.3,0.0,0.0,0.0,0.2,0.1,0.3,0.7,0.0,0.2,0.1,0.5,1.3
126,Jordan McLaughlin,PG,27,MIN,6,0,5.0,0.3,1.5,0.222,0.0,0.8,0.0,0.3,0.7,0.0,0.3,0.0,0.0,0.7,0.7,0.3,0.0,0.0,0.3,0.2,0.7
128,Sam Merrill,SG,27,CLE,10,0,12.5,1.0,2.9,0.345,1.0,2.7,0.37,0.0,0.2,0.3,0.3,1.0,0.2,1.0,1.2,0.9,0.0,0.0,0.0,0.9,3.3
129,Khris Middleton,SF,32,MIL,6,6,38.3,9.2,19.0,0.482,1.8,5.2,0.355,7.3,13.8,4.5,5.0,0.9,2.0,7.2,9.2,4.7,0.5,0.2,2.3,4.2,24.7
133,Josh Minott,SF,21,MIN,5,0,3.6,0.4,1.8,0.222,0.4,1.0,0.4,0.0,0.8,0.0,0.0,0.0,0.2,0.8,1.0,0.6,0.0,0.0,0.0,0.4,1.2
134,Donovan Mitchell,SG,27,CLE,10,10,38.2,10.7,22.5,0.476,2.9,8.2,0.354,7.8,14.3,5.3,6.5,0.815,0.6,4.8,5.4,4.7,1.3,0.3,2.8,2.9,29.6
135,Evan Mobley,PF,22,CLE,12,12,35.2,6.8,12.2,0.555,0.4,1.5,0.278,6.3,10.7,2.1,3.0,0.694,2.5,6.8,9.3,2.3,0.8,2.2,1.8,2.8,16.0
136,Wendell Moore Jr.,SG,22,MIN,6,0,3.0,0.5,1.2,0.429,0.2,0.7,0.25,0.3,0.5,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.2,0.0,0.2,0.5,1.2
